kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;vervaldatum_apk_dt;aantal_zitplaatsen;cilinderinhoud;bruto_bpm;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;type_gasinstallatie
00JFF6;Personenauto;TOYOTA;TOYOTA URBAN CRUISER;20200525;MPV;GRIJS;Niet geregistreerd;4;1105;1205;20090508;20090508;Geen verstrekking in Open Data;Ja;4;4;0;0;393;0;M1;r. voorzitting;1590;0;0.06;246;Nee;Nee;Nee;2390;2023;Logisch;00;Ja;2020-05-25T00:00:00.000;2009-05-08T00:00:00.000;2009-05-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240525;2024-05-25T00:00:00.000;5;1329;3677;1590;550;800;20530;XP11(A);e11*2001/116*0263*00;NSP110(H);NSP110L-AHFNKW(2A);0;B;;
00JFJ6;Personenauto;TOYOTA;TOYOTA IQ;20121121;coupe;WIT;Niet geregistreerd;3;820;920;20090506;20090506;Geen verstrekking in Open Data;Ja;2;4;0;0;299;0;M1;by dwarsbalk;1210;0;0.05;200;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2012-11-21T00:00:00.000;2009-05-06T00:00:00.000;2009-05-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231106;2023-11-06T00:00:00.000;4;998;;1210;;;14715;AJ1(A);e6*2001/116*0119*00;KGJ10(G);KGJ10L-BGMRGW(2A);0;A;;
00JFJ7;Personenauto;TOYOTA;TOYOTA PRIUS;20170330;hatchback;GRIJS;Niet geregistreerd;4;1275;1375;20090515;20090515;Geen verstrekking in Open Data;Ja;4;4;0;0;445;0;M1;r. tegen schutbord onder motorkap;1725;0;0.00;270;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2017-03-30T00:00:00.000;2009-05-15T00:00:00.000;2009-05-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231215;2023-12-15T00:00:00.000;5;1497;;1725;;;25490;HW2;e11*2001/116*0200*06;NHW20(E);NHW20L-AHEEBW(1G);0;A;;
00JFL6;Personenauto;TOYOTA;TOYOTA AYGO;20120914;hatchback;BLAUW;Niet geregistreerd;3;805;905;20090505;20090505;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Ja;Nee;0;2023;Logisch;00;Ja;2012-09-14T00:00:00.000;2009-05-05T00:00:00.000;2009-05-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240505;2024-05-05T00:00:00.000;4;998;;1190;;;10059;AB1;e11*2001/116*0236*06;KGB10(H);KGB10L-AHMGKW(1G);0;A;;
00JFP3;Personenauto;TOYOTA;TOYOTA AYGO;20151002;hatchback;ZWART;Niet geregistreerd;3;815;915;20090604;20090604;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;0;0.05;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2015-10-02T00:00:00.000;2009-06-04T00:00:00.000;2009-06-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230705;2023-07-05T00:00:00.000;4;998;;1190;;;11434;AB1;e11*2001/116*0236*06;KGB10(H);KGB10L-AHGGKW(1G);0;A;;
00JFR6;Personenauto;TOYOTA;TOYOTA AURIS;20180823;hatchback;ZWART;Niet geregistreerd;4;1225;1325;20090519;20090519;Geen verstrekking in Open Data;Ja;4;4;0;0;422;0;M1;op bodemplaat by r. voorzitting;1720;0;0.06;260;Nee;Nee;Nee;2720;2023;Geen oordeel;07;Ja;2018-08-23T00:00:00.000;2009-05-19T00:00:00.000;2009-05-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240519;2024-05-19T00:00:00.000;5;1329;3354;1720;450;1000;21330;E15UT(A);e11*2001/116*0305*04;NRE150(H);NRE150L-DHFNKW(3E);0;A;;
00JFT3;Personenauto;TOYOTA;TOYOTA AYGO;20170710;hatchback;BLAUW;Niet geregistreerd;3;805;905;20090507;20090507;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2017-07-10T00:00:00.000;2009-05-07T00:00:00.000;2009-05-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240522;2024-05-22T00:00:00.000;4;998;;1190;;;10165;AB1;e11*2001/116*0236*06;KGB10(H);KGB10L-AHMGKW(1G);0;A;;
00JFT4;Personenauto;TOYOTA;TOYOTA AYGO;20211229;hatchback;ZWART;Niet geregistreerd;3;815;915;20090509;20090509;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;0;0.05;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2021-12-29T00:00:00.000;2009-05-09T00:00:00.000;2009-05-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230621;2023-06-21T00:00:00.000;4;998;;1190;;;11540;AB1;e11*2001/116*0236*06;KGB10(H);KGB10L-AHGGKW(1G);0;A;;
00JFX2;Personenauto;TOYOTA;TOYOTA AYGO;20170715;hatchback;ZWART;Niet geregistreerd;3;805;905;20090508;20090508;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2017-07-15T00:00:00.000;2009-05-08T00:00:00.000;2009-05-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240508;2024-05-08T00:00:00.000;4;998;;1190;;;;AB1;e11*2001/116*0236*06;KGB10(H);KGB10L-AHMGKW(1G);0;A;;
00JFX3;Personenauto;TOYOTA;TOYOTA RAV4;20130904;MPV;ZWART;Niet geregistreerd;4;1450;1550;20090512;20090512;Geen verstrekking in Open Data;Ja;5;4;0;0;0;0;M1;op bodemplaat onder r. voorzitting;2070;0;0.07;256;Nee;Nee;Nee;4070;2022;Logisch;00;Ja;2013-09-04T00:00:00.000;2009-05-12T00:00:00.000;2009-05-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230830;2023-08-30T00:00:00.000;5;1987;7419;2070;750;2000;33325;XA3(A);e6*2001/116*0105*04;ZSA30(W);ZSA30L-AWFGPW(2E);0;C;;
