kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;vervaldatum_apk_dt;aantal_zitplaatsen;cilinderinhoud;bruto_bpm;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;type_gasinstallatie
0001VH;Personenauto;TOYOTA;CELICA ST;20201203;Niet geregistreerd;WIT;Niet geregistreerd;4;949;1049;19720810;19720810;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;l. tegen schutbord onder motorkap;0;0;0.00;243;Nee;Nee;Nee;0;1997;Geen oordeel;06;Ja;2020-12-03T00:00:00.000;1972-08-10T00:00:00.000;1972-08-10T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
00AD11;Personenauto;TOYOTA;1000;20201010;Niet geregistreerd;ORANJE;Niet geregistreerd;4;700;800;19730907;19730907;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. tegen schutbord by motorkap;0;0;0.00;216;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2020-10-10T00:00:00.000;1973-09-07T00:00:00.000;1973-09-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240817;2024-08-17T00:00:00.000;;;;;;;;;;;;;;;
00AD47;Personenauto;TOYOTA;CELICA ST;20100624;coupe;GEEL;Niet geregistreerd;4;1033;1133;19730906;19730906;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;midden tegen schutbord onder motorkap;;;0.06;243;Nee;Nee;Nee;;2022;Logisch;00;Ja;2010-06-24T00:00:00.000;1973-09-06T00:00:00.000;1973-09-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240715;2024-07-15T00:00:00.000;4;1600;;;;;;;;;;;;;
00GBF7;Personenauto;TOYOTA;TOYOTA YARIS;20101115;MPV;GRIJS;Niet geregistreerd;4;1000;1100;20080530;20080530;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op bodemplaat by voorzitting;1480;1;0.06;246;Nee;Nee;Nee;2230;2022;Logisch;00;Ja;2010-11-15T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231129;2023-11-29T00:00:00.000;5;1298;3886;1480;550;750;18876;XP9F(A);e11*2001/116*0249*01;SCP90(H);SCP90L-CHGGKW(1B);0;C;;
00GBF8;Personenauto;TOYOTA;TOYOTA AVENSIS;20141001;sedan;GROEN;Niet geregistreerd;4;1255;1355;20080523;20080523;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;1820;0;0.07;270;Nee;Nee;Nee;3120;2023;Logisch;00;Ja;2014-10-01T00:00:00.000;2008-05-23T00:00:00.000;2008-05-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231004;2023-10-04T00:00:00.000;5;1794;6216;1820;500;1300;27759;;e11*2001/116*0196*08;ZZT251(E);ZZT251L-AEMEKW(1J);0;C;0.00;
00GBP5;Personenauto;TOYOTA;TOYOTA COROLLA VERSO;20180515;MPV;ZWART;Niet geregistreerd;4;1350;1450;20070628;20081119;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;2035;0;0.07;275;Nee;Nee;Nee;3335;2022;Geen oordeel;05;Ja;2018-05-15T00:00:00.000;2007-06-28T00:00:00.000;2008-11-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230628;2023-06-28T00:00:00.000;7;1794;5613;2035;450;1300;;;e11*2001/116*0222*04;ZNR20(R);ZNR11L-GRMEKW(1E);0;D;0.00;
00GBS5;Personenauto;TOYOTA;TOYOTA AYGO;20230315;hatchback;GRIJS;Niet geregistreerd;3;805;905;20080602;20080602;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-03-15T00:00:00.000;2008-06-02T00:00:00.000;2008-06-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231025;2023-10-25T00:00:00.000;4;998;1124;1190;;;12281;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
00GBS6;Personenauto;TOYOTA;TOYOTA AYGO;20201224;hatchback;GRIJS;Niet geregistreerd;3;775;875;20080529;20080529;Geen verstrekking in Open Data;Ja;2;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2020-12-24T00:00:00.000;2008-05-29T00:00:00.000;2008-05-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231218;2023-12-18T00:00:00.000;4;998;295;1180;;;9120;AB1;e11*2001/116*0236*05;KGB10(G);KGB10L-AGMRKW(1F);0;A;;
00GBX4;Personenauto;TOYOTA;TOYOTA PRIUS;20130222;hatchback;BLAUW;Niet geregistreerd;4;1275;1375;20080624;20080624;Geen verstrekking in Open Data;Ja;4;4;0;0;445;0;M1;r. tegen schutbord onder motorkap;1725;0;0.00;270;Nee;Nee;Nee;0;2023;Geen oordeel;07;Ja;2013-02-22T00:00:00.000;2008-06-24T00:00:00.000;2008-06-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240221;2024-02-21T00:00:00.000;5;1497;2518;1725;;;31665;;e11*2001/116*0200*04;NHW20(E);NHW20L-AHEEBW(1E);0;A;;
00GDF3;Personenauto;TOYOTA;TOYOTA AYGO;20190624;hatchback;GRIJS;Niet geregistreerd;3;775;875;20080603;20080603;Geen verstrekking in Open Data;Ja;2;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2019-06-24T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240624;2024-06-24T00:00:00.000;4;998;295;1180;;;9120;AB1;e11*2001/116*0236*05;KGB10(G);KGB10L-AGMRKW(1F);0;A;;
00GDF4;Personenauto;TOYOTA;TOYOTA PRIUS;20080625;hatchback;GRIJS;Niet geregistreerd;4;1275;1375;20080625;20080625;Geen verstrekking in Open Data;Ja;4;4;0;0;445;0;M1;r. tegen schutbord onder motorkap;1725;0;0.00;270;Nee;Nee;Nee;0;2023;Onlogisch;04;Ja;2008-06-25T00:00:00.000;2008-06-25T00:00:00.000;2008-06-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240124;2024-01-24T00:00:00.000;5;1497;1123;1725;;;26345;;e11*2001/116*0200*04;NHW20(E);NHW20L-AHEEBW(1E);0;A;;
00GDL2;Personenauto;TOYOTA;TOYOTA YARIS;20201229;MPV;GROEN;Niet geregistreerd;3;955;1055;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op bodemplaat by voorzitting;1440;1;0.05;246;Nee;Ja;Nee;2190;2020;Logisch;00;Ja;2020-12-29T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20210703;2021-07-03T00:00:00.000;5;998;2242;1440;527;750;14576;XP9F(A);e11*2001/116*0249*01;KSP90(H);KSP90L-CHMRKW(1B);0;B;;
00GDS1;Personenauto;TOYOTA;TOYOTA AYGO;20220612;hatchback;ZWART;Niet geregistreerd;3;805;905;20080609;20080609;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2022-06-12T00:00:00.000;2008-06-09T00:00:00.000;2008-06-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230614;2023-06-14T00:00:00.000;4;998;1124;1190;;;12281;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
00GDS2;Personenauto;TOYOTA;TOYOTA AYGO;20210123;hatchback;BLAUW;Niet geregistreerd;3;805;905;20080708;20080708;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2021-01-23T00:00:00.000;2008-07-08T00:00:00.000;2008-07-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230708;2023-07-08T00:00:00.000;4;998;932;1190;;;11550;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
00GDX7;Personenauto;TOYOTA;TOYOTA AYGO;20080628;hatchback;ROOD;Niet geregistreerd;3;775;875;20080605;20080605;Geen verstrekking in Open Data;Ja;2;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2008-06-28T00:00:00.000;2008-06-05T00:00:00.000;2008-06-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230605;2023-06-05T00:00:00.000;4;998;182;1180;;;8690;AB1;e11*2001/116*0236*05;KGB10(G);KGB10L-AGMRKW(1F);0;A;;
00GDX8;Personenauto;TOYOTA;TOYOTA AYGO;20181117;hatchback;GRIJS;Niet geregistreerd;3;805;905;20080606;20080606;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2018-11-17T00:00:00.000;2008-06-06T00:00:00.000;2008-06-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240606;2024-06-06T00:00:00.000;4;998;932;1190;;;11550;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
00GFD2;Personenauto;TOYOTA;TOYOTA COROLLA;20170610;sedan;BLAUW;Niet geregistreerd;4;1230;1330;20080702;20080702;Geen verstrekking in Open Data;Ja;4;4;0;0;454;0;M1;by r. voorzitting op bodemplaat;1760;0;0.07;260;Nee;Nee;Nee;3060;2022;Logisch;00;Ja;2017-06-10T00:00:00.000;2008-07-02T00:00:00.000;2008-07-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230704;2023-07-04T00:00:00.000;5;1598;4648;1760;450;1300;23750;;e11*2001/116*0314*00;ZRE151(E);ZRE151L-DEMNKW(1A);0;B;;
00GFD3;Personenauto;TOYOTA;TOYOTA YARIS;20100409;MPV;ZWART;Niet geregistreerd;4;995;1095;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op bodemplaat by voorzitting;1480;1;0.06;246;Nee;Nee;Nee;2380;2022;Logisch;00;Ja;2010-04-09T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230629;2023-06-29T00:00:00.000;5;1298;3650;1480;547;900;17976;XP9F(A);e11*2001/116*0249*01;SCP90(H);SCP90L-CHMGKW(1B);0;C;;
00GFH7;Personenauto;TOYOTA;TOYOTA AYGO;20181224;hatchback;GRIJS;Niet geregistreerd;3;805;905;20080616;20080616;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2018-12-24T00:00:00.000;2008-06-16T00:00:00.000;2008-06-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240429;2024-04-29T00:00:00.000;4;998;1124;1190;;;12281;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
00GFH8;Personenauto;TOYOTA;TOYOTA AYGO;20210506;hatchback;ZWART;Niet geregistreerd;3;805;905;20080619;20080619;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2021-05-06T00:00:00.000;2008-06-19T00:00:00.000;2008-06-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240506;2024-05-06T00:00:00.000;4;998;932;1190;;;11550;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
00GFL1;Personenauto;TOYOTA;TOYOTA PRIUS;20210920;hatchback;GRIJS;Niet geregistreerd;4;1275;1375;20080609;20080609;Geen verstrekking in Open Data;Ja;4;4;0;0;445;0;M1;r. tegen schutbord onder motorkap;1725;0;0.00;270;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2021-09-20T00:00:00.000;2008-06-09T00:00:00.000;2008-06-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231111;2023-11-11T00:00:00.000;5;1497;1123;1725;;;26345;;e11*2001/116*0200*04;NHW20(E);NHW20L-AHEEBW(1E);0;A;;
00GFL2;Personenauto;TOYOTA;TOYOTA PRIUS;20110108;hatchback;GRIJS;Niet geregistreerd;4;1275;1375;20080707;20080707;Geen verstrekking in Open Data;Ja;4;4;0;0;445;0;M1;r. tegen schutbord onder motorkap;1725;0;0.00;270;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2011-01-08T00:00:00.000;2008-07-07T00:00:00.000;2008-07-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230620;2023-06-20T00:00:00.000;5;1497;1123;1725;;;26345;;e11*2001/116*0200*04;NHW20(E);NHW20L-AHEEBW(1E);0;A;;
00GFP2;Personenauto;TOYOTA;TOYOTA PRIUS;20120420;hatchback;ZWART;Niet geregistreerd;4;1275;1375;20080609;20080609;Geen verstrekking in Open Data;Ja;4;4;0;0;445;0;M1;r. tegen schutbord onder motorkap;1725;0;0.00;270;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2012-04-20T00:00:00.000;2008-06-09T00:00:00.000;2008-06-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230611;2023-06-11T00:00:00.000;5;1497;2341;1725;;;30990;;e11*2001/116*0200*04;NHW20(E);NHW20L-AHEEBW(1E);0;A;;
00GFS4;Personenauto;TOYOTA;TOYOTA AYGO;20150827;hatchback;BLAUW;Niet geregistreerd;3;775;875;20080625;20080625;Geen verstrekking in Open Data;Ja;2;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2015-08-27T00:00:00.000;2008-06-25T00:00:00.000;2008-06-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230625;2023-06-25T00:00:00.000;4;998;295;1180;;;9120;AB1;e11*2001/116*0236*05;KGB10(G);KGB10L-AGMRKW(1F);0;A;;
00GFV6;Personenauto;TOYOTA;TOYOTA AYGO;20180816;hatchback;GRIJS;Niet geregistreerd;3;805;905;20080625;20080625;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2018-08-16T00:00:00.000;2008-06-25T00:00:00.000;2008-06-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230703;2023-07-03T00:00:00.000;4;998;678;1190;;;10580;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
00GGB2;Personenauto;TOYOTA;TOYOTA AYGO;20230210;hatchback;ROOD;Niet geregistreerd;3;805;905;20080614;20080614;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2023-02-10T00:00:00.000;2008-06-14T00:00:00.000;2008-06-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240329;2024-03-29T00:00:00.000;4;998;565;1190;;;10149;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
00GGB3;Personenauto;TOYOTA;TOYOTA AURIS;20121008;hatchback;BLAUW;Niet geregistreerd;4;1235;1335;20070924;20080609;Geen verstrekking in Open Data;Ja;2;4;0;0;422;0;M1;op bodemplaat by r. voorzitting;1750;0;0.07;260;Nee;Ja;Nee;3050;2022;Geen oordeel;05;Ja;2012-10-08T00:00:00.000;2007-09-24T00:00:00.000;2008-06-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230925;2023-09-25T00:00:00.000;5;1598;4661;1750;450;1300;;;e11*2001/116*0305*00;ZRE151(G);ZRE151L-DGMNKW(1A);0;C;;
00GGF7;Personenauto;TOYOTA;TOYOTA YARIS;20131212;MPV;GRIJS;Niet geregistreerd;4;1000;1100;20080625;20080625;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op bodemplaat by voorzitting;1480;1;0.06;246;Nee;Nee;Nee;2230;2022;Logisch;00;Ja;2013-12-12T00:00:00.000;2008-06-25T00:00:00.000;2008-06-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231206;2023-12-06T00:00:00.000;5;1298;3584;1480;550;750;17725;XP9F(A);e11*2001/116*0249*01;SCP90(H);SCP90L-CHGGKW(1B);0;C;;
00GGF8;Personenauto;TOYOTA;TOYOTA AURIS;20180306;hatchback;ZWART;Niet geregistreerd;4;1235;1335;20080613;20080613;Geen verstrekking in Open Data;Ja;2;4;0;0;422;0;M1;op bodemplaat by r. voorzitting;1750;0;0.07;260;Nee;Nee;Nee;3050;2023;Logisch;00;Ja;2018-03-06T00:00:00.000;2008-06-13T00:00:00.000;2008-06-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240305;2024-03-05T00:00:00.000;5;1598;5020;1750;450;1300;23200;;e11*2001/116*0305*00;ZRE151(G);ZRE151L-DGMNKW(1A);0;C;;
00GGH9;Personenauto;TOYOTA;TOYOTA AURIS;20220207;hatchback;GROEN;Niet geregistreerd;4;1235;1335;20080701;20080701;Geen verstrekking in Open Data;Ja;2;4;0;0;422;0;M1;op bodemplaat by r. voorzitting;1750;0;0.07;260;Nee;Nee;Nee;3050;2023;Logisch;00;Ja;2022-02-07T00:00:00.000;2008-07-01T00:00:00.000;2008-07-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240204;2024-02-04T00:00:00.000;5;1598;4692;1750;450;1300;21950;;e11*2001/116*0305*00;ZRE151(G);ZRE151L-DGMNKW(1A);0;C;;
00GGL1;Personenauto;TOYOTA;TOYOTA RAV4;;MPV;GROEN;Niet geregistreerd;4;1570;1670;20080619;20080619;Geen verstrekking in Open Data;Nee;4;4;0;0;0;0;M1;op bodemplaat onder r. voorzitting;2190;0;0.08;256;Ja;Nee;Nee;4190;2021;Logisch;00;Nee;;2008-06-19T00:00:00.000;2008-06-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;5;2231;12773;2190;750;2000;46436;;e6*2001/116*0105*01;ALA30(WH);ALA30L-AWFGXW(2B);0;E;;
00GGL2;Personenauto;TOYOTA;TOYOTA AYGO;20180929;hatchback;GRIJS;Niet geregistreerd;3;805;905;20080619;20080619;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2018-09-29T00:00:00.000;2008-06-19T00:00:00.000;2008-06-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230728;2023-07-28T00:00:00.000;4;998;932;1190;;;11550;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMGKW(1F);0;A;;
